ItemCode,ItemName,ForeignName,ItemsGroupCode,ItemType,PurchaseItem,SalesItem,InventoryItem,Manufacturer,ShipType,ManageSerialNumbers,ManageBatchNumbers,IsPhantom,ItemClass,MaterialType,NCMCode,ProductSource,PurchaseUnit,PurchaseItemsPerUnit,SalesUnit,SalesItemsPerUnit,InventoryUOM,MinInventory,MaxInventory,PlanningSystem,ProcurementMethod,OrderMultiple,MinOrderQuantity,LeadTime,User_Text,U_SKILL_CEST,U_SKILL_LisSer,U_SKILL_SerMun,
ItemCode,ItemName,FrgnName,ItmsGrpCod,ItemType,PrchseItem,SellItem,InvntItem,FirmCode,ShipType,ManSerNum,ManBtchNum,Phantom,ItemClass,MatType,NCMCode,ProductSrc,BuyUnitMsr,NumInBuy,SalUnitMsr,NumInSale,InvntryUom,MinLevel,MaxLevel,PlaningSys,PrcrmntMtd,OrdrMulti,MinOrdrQty,LeadTime,UserText,U_SKILL_CEST,U_SKILL_LisSer,U_SKILL_SerMun,
Cabeçalho,,,,,,,,Geral,,,,,Classificação do item para Impostos,,,,Dados de Compra,,Dados de Venda ,,Dados de Estoque,,,,,,,,Observações,,Emissão de NFS-e,,
Código do Item,Nome do Item,Nome do Item no Exterior,Grupo do Item,Tipo de Item,Item de Compra,Item de Venda,Item de Estoque,Fabricante do Item (Não obrigatórios),Forma de Envio do Item (Não obrigatórios),Adm. Item por Número Série,Adm. Item por Lote,Item Fictício,Classificação do Item,Tipo de Material,Código NCM,Fonte do Produto,Unidade de Medida de Compra,Itens Por Unidade de Compra,Unidade de Medida de Venda,Itens por Unidade de Venda,Unidade de Medida de Estoque,Estoque Mínimo,Estoque Máximo,Método de Planejamento,Método de Suprimento,Solicitar Multiplos de,Quantidade Mínima Total,Tempo de Processamento,Observações,Código CEST,Item lista de serviço,código municipal do serviço ,
SRVP00001,TV POR ASSINATURA,,Serviços Prestados,itItems,tNO,tYES,tNO,,,,,,itcService,9 - Serviços,,,UN,,UN,,UN,,,,,,,,,,,,EXEMPLO DE PREENCHIMENTO
Conserto,Conserto da Fonte de Tensão                                                               ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I126    ,Higienizador de assento KC 300MLX 2                                                       ,,114,itItems,Sim         ,Não       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I127    ,Higienizador de mãos  KIMCARE SPRAY **Inativo**                                           ,,100,itItems,Sim         ,Não       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I128    ,Honorários Advocatícios                                                                   ,,107,itItems,Sim         ,Não       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I130    ,I.S.J - Manutenção e Suporte                                                              ,,100,itItems,Não         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I131    ,Impressos e Material de Escritório                                                        ,,telefone fixo ,itItems,Sim         ,Não       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I132    ,Indenizações Trabalhistas                                                                 ,,107,itItems,Sim         ,Não       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I134    ,Instrumentos Musicais                                                                     ,,telefone fixo ,itItems,Sim         ,Não       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I135    ,INTEGRAÇÃO BANCÁRIA                                                                       ,,100,itItems,Não         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I136    ,INTERCOMPANY - MEC                                                                        ,,100,itItems,Não         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I138    ,IPAD MINI WI-FI 16GB PRETO                                                                ,,100,itItems,Sim         ,Não       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I139    ,Jornais e Revistas                                                                        ,,telefone fixo ,itItems,Sim         ,Não       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I143    ,Kleenex Autofoam Soap Dermo (Antisséptico)                                                ,,100,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I145    ,lapis                                                                                     ,,100,itItems,Sim         ,Não       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I146    ,Liberali Gestão Agrícola                                                                  ,,100,itItems,Não         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I147    ,Limpeza & Conservação                                                                     ,,telefone fixo ,itItems,Sim         ,Não       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I148    ,Limpeza de bebedoro                                                                       ,,telefone fixo ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I491    ,LU Health One Clinic - On Premise                                                         ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I492    ,LU Health One Hospital - On Premise                                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I493    ,LU Build One - On Premise                                                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I494    ,LU MS - SQL por usuário                                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I495    ,LU MS - SQL por CPU                                                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I496    ,LU BankSync On Premise                                                                    ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I497    ,LU BankSync On Demand                                                                     ,,On Demand ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Matéria Prima,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I499    ,LU F0024 Combo 1 - (T1 + 1 produto) CNPJ Filial                                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I500    ,LU F0024 Combo 1 - (T1 + 1 produto) CNPJ Coligada                                         ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I501    ,LU F0024  Combo 2 - (T1 + 2 produtos) CNPJ Matriz                                         ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I502    ,LU F0024 Combo 2 - (T1 + 2 produtos) CNPJ Filial                                          ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I503    ,LU F0024 Combo 2 - (T1 + 2 produtos) CNPJ Coligada                                        ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I504    ,LU F0024  Combo 3 - (T1 + 3 produtos) CNPJ Matriz                                         ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I505    ,LU F0024 Combo 3 - (T1 + 3 produtos) CNPJ Filial                                          ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I506    ,LU F0024 Combo 3 - (T1 + 3 produtos) CNPJ Coligada                                        ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I507    ,LU F0024 Triple One - CNPJ Matriz                                                         ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I508    ,LU F0024 Triple One - CNPJ Filial                                                         ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I509    ,LU F0024 Triple One - CNPJ Coligada                                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I510    ,LU F0024 PC One - CNPJ Matriz                                                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I511    ,LU F0024 PC One - CNPJ Filial                                                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I512    ,LU F0024 PC One - CNPJ Coligada                                                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I513    ,LU F0024 FCT-1 - CNPJ Matriz                                                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I514    ,LU F0024 FCT-1 - CNPJ Filial                                                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I515    ,LU F0024 FCT-1 - CNPJ Coligada                                                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I516    ,LU F0024 NF-e - CNPJ Matriz                                                               ,,On Demand ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Matéria Prima,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I517    ,LU F0024 NF-e - CNPJ Filial                                                               ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I518    ,LU F0024 NF-e - CNPJ Coligada                                                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I519    ,LU F0024 NFS-e - CNPJ Matriz                                                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I520    ,LU F0024 NFS-e - CNPJ Filial                                                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I521    ,LU F0024 NFS-e - CNPJ Coligada                                                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I522    ,LU F0024 FCI One - CNPJ Matriz                                                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I523    ,LU F0024 FCI One - CNPJ Filial                                                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I524    ,LU F0024 FCI One - CNPJ Coligada                                                          ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I525    ,LU F0024 Importador XML - CNPJ Matriz                                                     ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I526    ,LU F0024 Importador XML - CNPJ Filial                                                     ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I527    ,LU F0024 Importador XML - CNPJ Coligada                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I528    ,LU F0024 NF-e - Extreme (CNPJ Matriz)                                                     ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I529    ,LU F0024 NF-e - Extreme (CNPJ Filial)                                                     ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I530    ,LU F0024 NF-e - Extreme (CNPJ Coligada)                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I531    ,LU F0024 NFS-e - Extreme (CNPJ Matriz)                                                    ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I532    ,LU F0024 NFS-e - Extreme (CNPJ Filial)                                                    ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I533    ,LU F0024 NFS-e - Extreme (CNPJ Coligada)                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I534    ,LU F0024 Importador XML -  Extreme (CNPJ Matriz)                                          ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I535    ,LU F0024 Importador XML - Extreme (CNPJ Filial)                                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I536    ,LU F0024 Importador XML - Extreme (CNPJ Coligada)                                         ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I537    ,LU F0024 NF-e - Extreme                                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I538    ,LU F0024 NFS-e - Extreme                                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I539    ,LU F0024 Importador XML -  Extreme                                                        ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I540    ,LU F0024 Triple One - On Demand                                                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I541    ,LU F0024 PC One - On Demand                                                               ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I542    ,LU F0024 FCT-1 - On Demand                                                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I543    ,LU F0024 NF-e - On Demand                                                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I544    ,LU F0024 NFS-e - On Demand                                                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
